DateTime,Source,Nitrate Load
2016-07-15,LIS-SWAT,0.04071
2016-07-15,SWAT,0.5786
2016-07-15,USGS,0.05740286
2016-07-16,LIS-SWAT,0.04142
2016-07-16,SWAT,0.2687
2016-07-16,USGS,0.055672448
2016-07-17,LIS-SWAT,0.04238
2016-07-17,SWAT,0.2687
2016-07-17,USGS,0.051692282
2016-07-18,LIS-SWAT,0.04226
2016-07-18,SWAT,0.2528
2016-07-18,USGS,0.051966624
2016-07-19,LIS-SWAT,0.04273
2016-07-19,SWAT,0.3021
2016-07-19,USGS,0.051742651
2016-07-20,LIS-SWAT,0.04313
2016-07-20,SWAT,0.3108
2016-07-20,USGS,0.048744445
2016-07-21,LIS-SWAT,0.06638
2016-07-21,SWAT,0.2611
2016-07-21,USGS,0.048009931
2016-07-22,LIS-SWAT,0.056
2016-07-22,SWAT,0.2594
2016-07-22,USGS,0.045076521
2016-07-23,LIS-SWAT,0.04237
2016-07-23,SWAT,0.2673
2016-07-23,USGS,0.051208637
2016-07-24,LIS-SWAT,0.03306
2016-07-24,SWAT,0.2731
2016-07-24,USGS,0.054763597
2016-07-25,LIS-SWAT,0.03006
2016-07-25,SWAT,0.272
2016-07-25,USGS,0.073642124
2016-07-26,LIS-SWAT,0.02822
2016-07-26,SWAT,0.2635
2016-07-26,USGS,0.070102568
2016-07-27,LIS-SWAT,0.0279
2016-07-27,SWAT,0.2565
2016-07-27,USGS,0.063725695
2016-07-28,LIS-SWAT,0.0294
2016-07-28,SWAT,0.3157
2016-07-28,USGS,0.067037122
2016-07-29,LIS-SWAT,0.02768
2016-07-29,SWAT,0.3034
2016-07-29,USGS,0.070982812
2016-07-30,LIS-SWAT,0.02887
2016-07-30,SWAT,0.2941
2016-07-30,USGS,0.081923257
2016-07-31,LIS-SWAT,0.03003
2016-07-31,SWAT,0.2856
2016-07-31,USGS,0.079362727
2016-08-01,LIS-SWAT,0.03095
2016-08-01,SWAT,0.2793
2016-08-01,USGS,0.072580942
2016-08-02,LIS-SWAT,0.03192
2016-08-02,SWAT,0.2713
2016-08-02,USGS,0.068744793
2016-08-03,LIS-SWAT,0.03256
2016-08-03,SWAT,0.2647
2016-08-03,USGS,0.063174076
2016-08-04,LIS-SWAT,0.0329
2016-08-04,SWAT,0.191
2016-08-04,USGS,0.0580716
2016-08-05,LIS-SWAT,0.03354
2016-08-05,SWAT,0.1679
2016-08-05,USGS,0.057221676
2016-08-06,LIS-SWAT,0.02772
2016-08-06,SWAT,0.1645
2016-08-06,USGS,0.057438069
2016-08-07,LIS-SWAT,0.02699
2016-08-07,SWAT,0.1624
2016-08-07,USGS,0.06098496
2016-08-08,LIS-SWAT,0.02777
2016-08-08,SWAT,0.1607
2016-08-08,USGS,0.062288209
2016-08-09,LIS-SWAT,0.02894
2016-08-09,SWAT,0.1523
2016-08-09,USGS,0.06037148
2016-08-10,LIS-SWAT,0.02989
2016-08-10,SWAT,0.07777
2016-08-10,USGS,0.05337697
2016-08-11,LIS-SWAT,0.03052
2016-08-11,SWAT,0.07023
2016-08-11,USGS,0.050300031
2016-08-12,LIS-SWAT,0.03127
2016-08-12,SWAT,0.04249
2016-08-12,USGS,0.057784787
2016-08-13,LIS-SWAT,0.02553
2016-08-13,SWAT,0.04274
2016-08-13,USGS,0.066186464
2016-08-14,LIS-SWAT,0.02377
2016-08-14,SWAT,0.04348
2016-08-14,USGS,0.061509439
2016-08-15,LIS-SWAT,0.02229
2016-08-15,SWAT,0.04484
2016-08-15,USGS,0.065263676
2016-08-16,LIS-SWAT,0.02546
2016-08-16,SWAT,0.04352
2016-08-16,USGS,0.068391962
2016-08-17,LIS-SWAT,0.02979
2016-08-17,SWAT,0.03989
2016-08-17,USGS,0.059023974
2016-08-18,LIS-SWAT,0.03127
2016-08-18,SWAT,0.04041
2016-08-18,USGS,0.058874577
2016-08-19,LIS-SWAT,0.03254
2016-08-19,SWAT,0.0373
2016-08-19,USGS,0.087511578
2016-08-20,LIS-SWAT,0.02454
2016-08-20,SWAT,0.03748
2016-08-20,USGS,0.070747102
2016-08-21,LIS-SWAT,0.02318
2016-08-21,SWAT,0.03745
2016-08-21,USGS,0.083643154
2016-08-22,LIS-SWAT,0.02309
2016-08-22,SWAT,0.03049
2016-08-22,USGS,0.085964551
2016-08-23,LIS-SWAT,0.0237
